access,family,Baltimore
NC_001798,Herpesviridae,I
NC_030692,Bornaviridae,V
NC_027892,Bornaviridae,V
NC_029642,Bornaviridae,V
NC_001607,Bornaviridae,V
NC_029549,Fimoviridae,V
NC_029550,Fimoviridae,V
NC_029551,Fimoviridae,V
NC_029552,Fimoviridae,V
NC_029553,Fimoviridae,V
NC_029570,Fimoviridae,V
NC_029554,Fimoviridae,V
NC_029555,Fimoviridae,V
NC_029558,Fimoviridae,V
NC_029559,Fimoviridae,V
NC_029560,Fimoviridae,V
NC_029561,Fimoviridae,V
NC_029571,Fimoviridae,V
NC_029572,Fimoviridae,V
NC_029573,Fimoviridae,V
NC_029567,Fimoviridae,V
NC_029562,Fimoviridae,V
NC_029568,Fimoviridae,V
NC_029563,Fimoviridae,V
NC_029564,Fimoviridae,V
NC_029565,Fimoviridae,V
NC_029566,Fimoviridae,V
NC_029556,Fimoviridae,V
NC_029557,Fimoviridae,V
NC_029569,Fimoviridae,V
NC_029574,Fimoviridae,V
NC_029575,Fimoviridae,V
NC_029578,Solemoviridae,IV
NC_030691,Bornaviridae,V
NC_017862,Papillomaviridae,I
NC_017936,Caliciviridae,IV
NC_017937,Paramyxoviridae,V
NC_017938,Secoviridae,IV
NC_017939,Secoviridae,IV
NC_029648,Geminiviridae,II
NC_017977,Potyviridae,IV
NC_017967,Potyviridae,IV
NC_017970,Potyviridae,IV
NC_017988,Partitiviridae,III
NC_017989,Partitiviridae,III
NC_017987,Geminiviridae,II
NC_017993,Papillomaviridae,I
NC_017994,Papillomaviridae,I
NC_017916,Smacoviridae,II
NC_017917,Geminiviridae,II
NC_017913,Geminiviridae,II
NC_011348,Geminiviridae,II
NC_017995,Papillomaviridae,I
NC_017996,Papillomaviridae,I
NC_017997,Papillomaviridae,I
NC_029803,Geminiviridae,II
NC_029804,Geminiviridae,II
NC_029782,Narnaviridae,IV
NC_029797,Parvoviridae,II
NC_029799,Tospoviridae,V
NC_029800,Tospoviridae,V
NC_038232,Tospoviridae,V
NC_029802,Picobirnaviridae,III
NC_029801,Picobirnaviridae,III
NC_018072,Tospoviridae,V
NC_018071,Tospoviridae,V
NC_018070,Tospoviridae,V
NC_029853,Retroviridae,VI
NC_029852,Retroviridae,VI
NC_029854,Picornaviridae,IV
NC_018074,Papillomaviridae,I
NC_018075,Papillomaviridae,I
