ID,family
NC_001798,Orthoherpesviridae
NC_030692,Bornaviridae
NC_027892,Bornaviridae
NC_029642,Bornaviridae
NC_001607,Bornaviridae
NC_029549,Fimoviridae
NC_029550,Fimoviridae
NC_029551,Fimoviridae
NC_029552,Fimoviridae
NC_029553,Fimoviridae
NC_029570,Fimoviridae
NC_029554,Fimoviridae
NC_029555,Fimoviridae
NC_029558,Fimoviridae
NC_029559,Fimoviridae
NC_029560,Fimoviridae
NC_029561,Fimoviridae
NC_029571,Fimoviridae
NC_029572,Fimoviridae
NC_029573,Fimoviridae
NC_029567,Fimoviridae
NC_029562,Fimoviridae
NC_029568,Fimoviridae
NC_029563,Fimoviridae
NC_029564,Fimoviridae
NC_029565,Fimoviridae
NC_029566,Fimoviridae
NC_029556,Fimoviridae
NC_029557,Fimoviridae
NC_029569,Fimoviridae
NC_029574,Fimoviridae
NC_029575,Fimoviridae
NC_029578,Solemoviridae
NC_030691,Bornaviridae
NC_017862,Papillomaviridae
NC_017936,Caliciviridae
NC_017937,Paramyxoviridae
NC_017938,Secoviridae
NC_017939,Secoviridae
NC_029648,Geminiviridae
NC_017977,Potyviridae
NC_017967,Potyviridae
NC_017970,Potyviridae
NC_017988,Partitiviridae
NC_017989,Partitiviridae
NC_017987,Geminiviridae
NC_017993,Papillomaviridae
NC_017994,Papillomaviridae
NC_017916,Smacoviridae
NC_017917,Geminiviridae
NC_017913,Geminiviridae
NC_011348,Geminiviridae
NC_017995,Papillomaviridae
NC_017996,Papillomaviridae
NC_017997,Papillomaviridae
NC_029803,Geminiviridae
NC_029804,Geminiviridae
NC_029782,Narnaviridae
NC_029797,Parvoviridae
NC_029799,Tospoviridae
NC_029800,Tospoviridae
NC_038232,Tospoviridae
NC_029802,Picobirnaviridae
NC_029801,Picobirnaviridae
NC_018072,Tospoviridae
NC_018071,Tospoviridae
NC_018070,Tospoviridae
NC_029853,Retroviridae
NC_029852,Retroviridae
NC_029854,Picornaviridae
NC_018074,Papillomaviridae
NC_018075,Papillomaviridae
NC_018076,Papillomaviridae
NC_029994,Geminiviridae
NC_029991,Mitoviridae
NC_029995,Geminiviridae
NC_029993,Solemoviridae
NC_029992,Arteriviridae
NC_029936,Nairoviridae
NC_029931,Nairoviridae
NC_029935,Nairoviridae
NC_029900,Tombusviridae
NC_029901,Phenuiviridae
NC_037612,Phenuiviridae
NC_037613,Phenuiviridae
NC_029903,Phenuiviridae
NC_037614,Phenuiviridae
NC_037615,Phenuiviridae
NC_029932,Nairoviridae
NC_029933,Nairoviridae
NC_036636,Nairoviridae
NC_029921,Amnoonviridae
NC_029922,Amnoonviridae
NC_029923,Amnoonviridae
NC_029924,Amnoonviridae
NC_029925,Amnoonviridae
NC_029928,Amnoonviridae
NC_029929,Amnoonviridae
NC_029930,Amnoonviridae
NC_029926,Amnoonviridae
NC_035887,Geminiviridae
NC_035888,Geminiviridae
NC_029905,Picornaviridae
NC_029906,Solemoviridae
NC_029911,Spinareoviridae
NC_029912,Spinareoviridae
NC_029913,Spinareoviridae
NC_029916,Spinareoviridae
NC_029915,Spinareoviridae
NC_029917,Spinareoviridae
NC_029918,Spinareoviridae
NC_029919,Spinareoviridae
NC_029914,Spinareoviridae
NC_037579,Sedoreoviridae
NC_037580,Sedoreoviridae
NC_037581,Spinareoviridae
NC_037582,Spinareoviridae
NC_037588,Spinareoviridae
NC_037585,Spinareoviridae
NC_037586,Spinareoviridae
NC_037587,Spinareoviridae
NC_029904,Spinareoviridae
NC_037589,Spinareoviridae
NC_037583,Spinareoviridae
NC_037584,Spinareoviridae
NC_029989,Totiviridae
NC_029990,Solemoviridae
NC_030152,Spinareoviridae
NC_030159,Spinareoviridae
NC_030160,Spinareoviridae
NC_030162,Spinareoviridae
NC_030153,Spinareoviridae
NC_030154,Spinareoviridae
NC_030155,Spinareoviridae
NC_030157,Spinareoviridae
NC_030158,Spinareoviridae
NC_030163,Spinareoviridae
NC_030115,Dicistroviridae
NC_030236,Potyviridae
NC_030229,Virgaviridae
NC_030126,Smacoviridae
NC_030139,Genomoviridae
NC_030146,Genomoviridae
NC_030141,Genomoviridae
NC_030145,Genomoviridae
NC_030143,Genomoviridae
NC_030140,Genomoviridae
NC_030144,Genomoviridae
NC_030147,Genomoviridae
NC_030138,Genomoviridae
NC_030117,Orthoherpesviridae
NC_030148,Polyomaviridae
NC_030151,Papillomaviridae
NC_030127 NC_018617,Smacoviridae
NC_030199,Circoviridae
NC_030203,Tombusviridae
NC_030205,Caulimoviridae
NC_030295,Totiviridae
NC_030296,Parvoviridae
NC_030291,Flaviviridae
NC_030293,Potyviridae
NC_030308,Narnaviridae
NC_018090,Geminiviridae
NC_018093,Potyviridae
NC_030224,Totiviridae
NC_030238,Geminiviridae
NC_030225,Solemoviridae
NC_030240,Baculoviridae
NC_030231,Paramyxoviridae
NC_030243,Partitiviridae
NC_030245,Partitiviridae
NC_030290,Flaviviridae
NC_023295,Betaflexiviridae
NC_023300,Nanoviridae
NC_023301,Nanoviridae
NC_023302,Nanoviridae
NC_023304,Nanoviridae
NC_023306,Nanoviridae
NC_023307,Nanoviridae
NC_023299,Nanoviridae
NC_023296,Nanoviridae
NC_023297,Nanoviridae
NC_023298,Nanoviridae
NC_023308,Nanoviridae
NC_023309,Nanoviridae
NC_023310,Nanoviridae
NC_023303,Nanoviridae
NC_023311,Nanoviridae
NC_027026,Caliciviridae
NC_027016,Orthoherpesviridae
NC_027040,Geminiviridae
NC_027054,Picornaviridae
NC_023312,Geminiviridae
NC_026942,Polyomaviridae
NC_026944,Polyomaviridae
NC_026946,Papillomaviridae
NC_026945,Circoviridae
NC_026943,Parvoviridae
NC_027198,Solemoviridae
NC_027209,Totiviridae
NC_027211,Tombusviridae
NC_027210,Potyviridae
NC_027117,Retroviridae
NC_027123,Solemoviridae
NC_027121,Closteroviridae
NC_027122,Caliciviridae
NC_027131,Caulimoviridae
NC_027141,Phenuiviridae
NC_027142,Phenuiviridae
NC_027140,Phenuiviridae
NC_027124,Arteriviridae
NC_027135,Arenaviridae
NC_027137,Arenaviridae
NC_027134,Arenaviridae
NC_027136,Arenaviridae
NC_027214,Picornaviridae
NC_027212,Totiviridae
NC_027215,Geminiviridae
NC_027426,Astroviridae
NC_027429,Parvoviridae
NC_027534,Sedoreoviridae
NC_027535,Sedoreoviridae
NC_027537,Sedoreoviridae
